,0
0,0.3368692398071289
1,0.39973756670951843
2,0.48405370116233826
3,0.5253864526748657
4,0.8785862922668457
5,0.8562240600585938
6,0.8744380474090576
7,0.3571467995643616
8,0.7458271980285645
9,0.8867496848106384
10,0.8539130687713623
11,0.7178979516029358
12,0.7265533208847046
13,0.1760229766368866
14,0.9087951183319092
15,0.9087951183319092
16,0.6485478281974792
17,0.7463238835334778
18,0.6418598890304565
19,0.6433600783348083
20,0.5171949863433838
21,0.4874977767467499
22,0.35358893871307373
23,0.2503218352794647
24,0.26512616872787476
25,0.39251264929771423
26,0.26965048909187317
27,0.17057131230831146
28,0.23406197130680084
29,0.24044662714004517
30,0.294387549161911
31,0.26630711555480957
32,0.771937906742096
33,0.14871573448181152
34,0.3604409992694855
35,0.22039054334163666
36,0.19685102999210358
37,0.12086346000432968
38,0.24271348118782043
39,0.709510326385498
40,0.28795674443244934
41,0.6519315838813782
42,0.22955211997032166
43,0.7957904934883118
44,0.6905795335769653
45,0.8475879430770874
46,0.2534331679344177
47,0.6299697160720825
48,0.17731976509094238
49,0.7607293128967285
50,0.28296753764152527
51,0.4999186098575592
52,0.7107411623001099
53,0.17129695415496826
54,0.7978919148445129
55,0.18551748991012573
56,0.214074969291687
57,0.2811489403247833
58,0.3891790807247162
59,0.3127444386482239
60,0.279599666595459
61,0.22848770022392273
62,0.23252908885478973
63,0.6551604270935059
64,0.605419397354126
65,0.7944869995117188
66,0.5734712481498718
67,0.4936849772930145
68,0.2908827066421509
69,0.6421797871589661
70,0.5000718235969543
71,0.521949052810669
72,0.3563483953475952
73,0.2894502878189087
74,0.7044070959091187
75,0.2912099063396454
76,0.19086019694805145
77,0.15090133249759674
78,0.2444721907377243
79,0.20314237475395203
80,0.20002277195453644
81,0.5867356657981873
82,0.2275772988796234
83,0.17707538604736328
84,0.8025375604629517
85,0.2526422441005707
86,0.26155006885528564
87,0.7089431285858154
88,0.22913327813148499
89,0.3671378493309021
90,0.46709325909614563
91,0.3311294913291931
92,0.5205137729644775
93,0.1826934665441513
94,0.2713632881641388
95,0.25201961398124695
96,0.1620979905128479
97,0.41363146901130676
98,0.5243844985961914
99,0.5880803465843201
100,0.3094669282436371
101,0.7371317744255066
102,0.412826269865036
103,0.5451388955116272
104,0.18904979526996613
105,0.28965938091278076
106,0.8595488667488098
107,0.8024433851242065
108,0.6221898794174194
109,0.2250557839870453
110,0.4081670939922333
111,0.14900095760822296
112,0.8413981795310974
113,0.3228885233402252
114,0.12758049368858337
115,0.1764293760061264
116,0.27411535382270813
117,0.23561355471611023
118,0.3577421307563782
119,0.37330862879753113
120,0.7001140713691711
121,0.7372729182243347
122,0.23058900237083435
123,0.49295446276664734
124,0.28850042819976807
125,0.41486674547195435
126,0.8373352289199829
127,0.8596433401107788
128,0.20588356256484985
129,0.7460088729858398
130,0.9387600421905518
131,0.7642170190811157
132,0.19654566049575806
133,0.2998311519622803
134,0.6646910309791565
135,0.4346333146095276
136,0.3093181848526001
137,0.21183139085769653
138,0.6320086121559143
139,0.3651624023914337
140,0.24990373849868774
141,0.3194583058357239
142,0.5945270657539368
143,0.3041439354419708
144,0.17077192664146423
145,0.518831193447113
146,0.34185734391212463
147,0.22348569333553314
148,0.2609311044216156
149,0.5375255346298218
150,0.2816494107246399
151,0.32737916707992554
152,0.5311532616615295
153,0.2612738311290741
154,0.23084940016269684
155,0.16380569338798523
156,0.38304227590560913
157,0.22040356695652008
158,0.2323014736175537
159,0.7585165500640869
160,0.6037559509277344
161,0.8034404516220093
162,0.364572674036026
163,0.3785645365715027
164,0.1746060997247696
165,0.328327476978302
166,0.1979231983423233
167,0.23822180926799774
168,0.6023523211479187
169,0.47254541516304016
170,0.13538044691085815
171,0.7937335968017578
172,0.2902134954929352
173,0.5524457693099976
174,0.3250212073326111
175,0.7287326455116272
176,0.338946670293808
177,0.38192832469940186
178,0.6093241572380066
179,0.7091526985168457
180,0.2388678938150406
181,0.5171173810958862
182,0.18069151043891907
183,0.23245647549629211
184,0.9438149333000183
185,0.2022734433412552
186,0.526746392250061
187,0.2743135690689087
188,0.8831411004066467
189,0.9346531629562378
190,0.2610863447189331
191,0.3104702830314636
192,0.3534363806247711
193,0.8985201120376587
194,0.41704171895980835
195,0.1988731026649475
196,0.31311267614364624
197,0.43595176935195923
198,0.3303671181201935
199,0.26856234669685364
200,0.4591822922229767
201,0.18562735617160797
202,0.3042251467704773
203,0.5820403099060059
204,0.4015636742115021
205,0.27701106667518616
206,0.60503751039505
207,0.26212194561958313
208,0.3337523341178894
209,0.6508756875991821
210,0.24589946866035461
211,0.7409892082214355
